GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,PerryRhodanNeoStorySeries,29,114,6,8,11,21,11,5,5,4
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,ICalendarUtil,22,85,4,2,4,16,3,3,0,3
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,AbstractSeries,27,79,1,3,7,18,3,6,2,5
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,Issue,27,30,0,0,8,12,3,5,3,5
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,PersistenceContext,106,0,2,0,24,0,5,0,4,0
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,PerryRhodanSeries,0,28,1,1,0,8,1,6,0,6
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,PerryRhodanArkonSeries,2,32,1,1,1,9,2,7,1,7
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,WikiPage,82,12,0,0,33,5,19,4,19,4
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,PerryRhodanNeoSeries,2,28,1,1,1,8,2,6,1,6
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,EventUtil,0,155,1,1,0,21,1,2,0,2
perrypedia-release-calendar,com.gurkensalat.calendar.perrypedia.releasecalendar,Application,725,0,64,0,147,0,40,0,8,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,UploadType,45,0,0,0,19,0,13,0,13,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,ObjectFactory,78,0,0,0,19,0,18,0,18,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,LogItemType,66,0,0,0,28,0,19,0,19,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,TextType,43,0,2,0,18,0,12,0,11,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,DeletedFlagType,63,0,4,0,10,0,8,0,6,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,NamespaceType,24,0,0,0,10,0,7,0,7,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,PageType,56,0,2,0,22,0,15,0,14,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,DiscussionThreadingInfo,59,0,0,0,25,0,17,0,17,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,LogTextType,17,0,0,0,7,0,5,0,5,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,MediaWikiType,46,0,4,0,16,0,11,0,9,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,LogParamsType,22,0,2,0,9,0,6,0,5,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,SiteInfoType,38,0,0,0,16,0,11,0,11,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,RedirectType,17,0,0,0,7,0,5,0,5,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,CommentType,17,0,0,0,7,0,5,0,5,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,ContributorType,31,0,0,0,13,0,9,0,9,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,RevisionType,73,0,0,0,31,0,21,0,21,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,NamespacesType,14,0,2,0,4,0,3,0,2,0
perrypedia-release-calendar,org.mediawiki.xml.export_0,CaseType,85,0,4,0,12,0,8,0,6,0
